Name,State,Latitude,Longitude,Status,Commodity Group,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Mineral Type
Abercorn,QLD,-25.1351,151.1312,Mineral deposit,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
Adamsfield,TAS,-42.7279,146.3296,Mineral deposit,"Platinum Group Elements (PGE) , Cobalt , Nickel",,,,,,Other
Agricola,SA,-36.1867,139.6796,Operating mine,Magnesium,,,,,,Base Metals and Alloys
Albany,WA,-34.6968,118.5312,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Ambergate,WA,-34.0271,115.129,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Andover,WA,-20.8545,117.1182,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Anduramba,QLD,-27.1409,152.1079,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Ant Hill,WA,-22.0909,120.595,Mine - care and maintenance,Manganese Ore,,,,,,Base Metals and Alloys
Anthony,QLD,-22.3107,147.2816,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Area 55,NT,-13.0139,130.9674,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Arrowmith Central,WA,-29.6561,115.1692,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Arrowsmith North,WA,-29.5129,115.1104,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Atacama,SA,-30.7906,132.2773,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Atlas,WA,-30.5382,115.2489,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Atlas-Campaspe,NSW,-33.8833,143.35,Operating mine,Titanium,,,,,,Base Metals and Alloys
Attunga,NSW,-30.9167,150.9337,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Australian Vanadium,WA,-26.9676,118.6463,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Avebury,TAS,-41.9201,145.2485,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Avonbank,VIC,-36.6370,142.3089,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Baal Gammon,QLD,-17.3805,145.3269,Mine - care and maintenance,Indium,,,,,,Rare Earth Elements (REE) and Specialty Elements
Balcanoona,SA,-30.5271,139.3,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Bald Hill,WA,-31.5198,122.1785,Operating mine,"Lithium , Tantalum , Niobium",,,,,,Other
Balla Balla,WA,-20.7660,117.7757,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Balranald,NSW,-34.4599,143.4612,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Bandalup,WA,-33.6086,120.3583,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Barbara,QLD,-20.4206,139.8517,Mine - care and maintenance,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Barnes Hill,TAS,-41.2212,146.7726,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Barrambie,WA,-27.4332,119.1211,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Barrow Creek,NT,-21.5167,134.15,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Barton,SA,-30.5293,132.6789,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Basil,NT,-23.4129,135.3134,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Beharra,WA,-29.4360,115.1115,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Ben Lomond,QLD,-19.3770,146.3,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Beta Hunt,WA,-31.2403,121.6939,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Beyondie,WA,-23.1187,120.5514,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Bidaminna,WA,-31.1005,115.6034,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Bielsdown,NSW,-30.2256,152.7203,Mineral deposit,Antimony,,,,,,Rare Earth Elements (REE) and Specialty Elements
Big Hill-Cookes Creek,WA,-21.6558,120.4625,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Bigrlyi,NT,-22.2202,131.0432,Mineral deposit,Vanadium,,,,,,Base Metals and Alloys
Birthday Gift-Triangle,NSW,-33.4838,142.9037,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Black Swan,WA,-30.3934,121.652,Mine - care and maintenance,"Nickel , Cobalt , PGE",,,,,,Other
Blackwater,TAS,-41.1101,144.9469,Operating mine,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Blue Spec,WA,-21.8209,120.273,Mine - under development,Antimony,,,,,,Rare Earth Elements (REE) and Specialty Elements
Bold Head,TAS,-40.0260,144.0669,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Boonanarring,WA,-31.2237,115.8346,Operating mine,Titanium,,,,,,Base Metals and Alloys
Bootu Creek,NT,-18.6998,134.1258,Mine - care and maintenance,Manganese Ore,,,,,,Base Metals and Alloys
Bowry Creek,TAS,-41.5584,145.171,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Broadhurst,WA,-22.2293,122.218,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Brockman,WA,-18.3209,127.7837,Mineral deposit,"REE, Zirconium, Niobium, , Hafnium, Lithium, Tantalum, Gallium",,,,,,Other
Broken Hill,NSW,-32.0564,141.7906,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Broken Hill Cobalt,NSW,-32.0930,141.1938,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Brolga,QLD,-23.0302,150.3,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Browns,NT,-12.9939,130.9975,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Browns Range,WA,-18.8595,128.9398,Mine - care and maintenance,Rare Earth Elements (REE),,,,,,Other
Bryah Basin,WA,-25.4252,118.4333,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Buldania,WA,-32.0695,122.0916,Mineral deposit,"Lithium , Tantalum , Niobium",,,,,,Other
Bulong,WA,-30.6904,121.822,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Bungalally,VIC,-36.8002,142.2488,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Bungonia,NSW,-34.7977,149.8714,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Burke,QLD,-19.6149,140.217,Mineral deposit,Graphite,,,,,,"Silica, Graphite, and Fluorine"
Burns Central,WA,-31.1823,122.026,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Burracoppin,WA,-31.6973,118.712,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
Butcherbird-Yanneri,WA,-24.4082,119.7068,Operating mine,Manganese Ore,,,,,,Base Metals and Alloys
Byro East,WA,-26.0323,116.3791,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Cadia East,NSW,-33.4650,149.0123,Operating mine,"Molybdenum, Rhenium",,,,,,Other
Cadoux,WA,-30.6772,117.193,Mine - under development,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
Callisto,WA,-32.0980,121.6546,Mineral deposit,"Platinum Group Elements (PGE) , Cobalt , Nickel",,,,,,Other
Camel Creek,QLD,-18.8169,145.5625,Mineral deposit,Antimony,,,,,,Rare Earth Elements (REE) and Specialty Elements
Camel Flat,SA,-30.5649,138.3703,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Camelback Bore,WA,-29.1732,122.2539,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Campoona,SA,-33.5279,136.479,Mineral deposit,Graphite,,,,,,"Silica, Graphite, and Fluorine"
Canegrass,WA,-30.2046,120.9849,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Canegrass,WA,-28.3571,118.4011,Mineral deposit,Vanadium,,,,,,Base Metals and Alloys
Cangai,NSW,-29.5001,152.4897,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Canoona,QLD,-23.0797,150.2659,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Cape Flattery,QLD,-14.9600,145.33,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Cape Flattery,QLD,-14.9850,145.3228,Operating mine,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Capricorn Copper,QLD,-19.6975,139.3659,Operating mine,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Caravel,WA,-30.9696,116.6188,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Carboona,NSW,-35.8249,147.7237,Mineral deposit,Fluorine,,,,,,"Silica, Graphite, and Fluorine"
Carlingup,WA,-33.5727,120.2209,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Carlow Castle,WA,-20.8108,117.0665,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Carr Boyd,WA,-30.0659,121.6261,Mineral deposit,"Platinum Group Elements (PGE) , Cobalt , Nickel",,,,,,Other
Cassini,WA,-31.7009,121.6211,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Cataby,WA,-30.7351,115.5387,Operating mine,Titanium,,,,,,Base Metals and Alloys
Cawse,WA,-30.3689,121.1485,Mine - care and maintenance,"Nickel , Cobalt , PGE",,,,,,Other
Celia,NT,-13.0316,131.0649,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Champion Road,TAS,-41.1265,145.4345,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Charley Creek,NT,-23.5011,132.8747,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Circle Valley,WA,-32.9921,121.891,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
Claude Hills,SA,-26.0110,129.1756,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Cleveland,TAS,-41.4770,145.385,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Cliffs,WA,-27.3105,120.5528,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Coates,WA,-31.7425,116.4129,Mineral deposit,Vanadium,,,,,,Base Metals and Alloys
Coburn,WA,-26.7038,114.127,Operating mine,Titanium,,,,,,Base Metals and Alloys
Coglia,WA,-29.0110,122.9884,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Conrad,NSW,-29.9549,151.0244,Mineral deposit,Indium,,,,,,Rare Earth Elements (REE) and Specialty Elements
Contact,WA,-22.2637,121.1711,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Cooljarloo,WA,-30.6352,115.4242,Operating mine,Titanium,,,,,,Base Metals and Alloys
Coolup,WA,-32.7229,115.9411,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Copernicus,WA,-17.6588,127.991,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Copi,NSW,-33.6199,141.3496,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Copperhead,QLD,-20.5400,148.31,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Corella,QLD,-20.7175,140.2068,Mineral deposit,Graphite,,,,,,"Silica, Graphite, and Fluorine"
Corinna,TAS,-41.6224,145.112,Operating mine,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Corkwood,WA,-17.2950,128.1877,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Coronation Dam,WA,-29.5235,122.2705,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Coronation Hill,NT,-13.5862,132.6074,Mineral deposit,"Platinum Group Elements (PGE) , Cobalt , Nickel",,,,,,Other
Cosmos ,WA,-27.6003,120.5763,Mine - under development,"Nickel , Cobalt , PGE",,,,,,Other
Costerfield,VIC,-36.8901,144.791,Operating mine,Antimony,,,,,,Rare Earth Elements (REE) and Specialty Elements
Cowalinya,WA,-32.9100,122.29,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
Creswick,VIC,-37.3204,143.8943,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Cummins Range,WA,-19.2849,127.1666,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
Cyclone,WA,-28.8171,128.7322,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Cylinder-Karra,NSW,-34.1419,143.0801,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Debella,QLD,-19.9586,141.889,Mineral deposit,Vanadium,,,,,,Base Metals and Alloys
Deep Leads,TAS,-41.4600,146.74,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
Desolation,QLD,-21.0479,140.5565,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Diggers Area,WA,-32.7158,119.8104,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Dolphin,TAS,-40.0533,144.0587,Operating mine,Tungsten,,,,,,Base Metals and Alloys
Donald,VIC,-36.4994,142.7815,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Dongara,WA,-29.4315,115.1429,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Dubbo,NSW,-32.4643,148.6235,Mine - under development,"REE, Zirconium, Niobium, , Hafnium, Lithium, Tantalum, Gallium",,,,,,Other
Earaheedy,WA,-25.6570,120.6262,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
East Cooee,WA,-31.3444,121.7889,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
East Scotia,WA,-31.1823,121.457,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Eastern Hills,WA,-22.8362,116.1233,Mineral deposit,Antimony,,,,,,Rare Earth Elements (REE) and Specialty Elements
Elaine Dorothy,QLD,-20.8028,140.0228,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
Emmie Bluff,SA,-31.1051,137.1544,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Enacheddong Creek,WA,-22.1312,121.1978,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Eneabba stockpile,WA,-29.8881,115.3037,Operating mine,Titanium,,,,,,Base Metals and Alloys
Ernest Henry,QLD,-20.4447,140.7058,Operating mine,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Eulogie,QLD,-23.8453,150.4344,Mineral deposit,Vanadium,,,,,,Base Metals and Alloys
Faraday,WA,-31.4844,121.5327,Mineral deposit,"Lithium , Tantalum , Niobium",,,,,,Other
Fingerboards,VIC,-37.7909,147.3112,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Finniss,NT,-12.6667,130.7775,Operating mine,"Lithium , Tantalum , Niobium",,,,,,Other
Fisher East,WA,-26.8035,121.5537,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Flanagan Bore,WA,-22.9701,120.8394,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Flemington,NSW,-32.7431,147.3926,Mineral deposit,"Scandium , Cobalt , PGE , Nickel",,,,,,Other
Flying Fox,WA,-32.4185,119.689,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Foster-Baker,WA,-31.3480,121.7965,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Four Corners ,WA,-29.3144,120.6,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Frost,WA,-30.0584,121.64,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Gabanintha,WA,-26.9418,118.6325,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Galalar,QLD,-15.3170,145.2779,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Galileo,VIC,-34.9608,142.428,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Gallipoli,NSW,-33.4711,142.3353,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Ghan Well,WA,-28.8710,122.132,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Ghost Rocks,WA,-29.5275,120.8713,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Gibson,WA,-33.5960,122.0053,Mineral deposit,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
Gilligans,NSW,-33.6674,142.0185,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Ginkgo-Crayfish-Snapper,NSW,-33.3659,142.2247,Operating mine,Titanium,,,,,,Base Metals and Alloys
Glen Eden,NSW,-29.6227,151.8637,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Glenella,NSW,-33.9509,148.8305,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Golden Ridge,WA,-30.9106,121.7167,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Goodyear Nickel,WA,-31.0363,121.8035,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Goondicum Crater,QLD,-24.8557,151.4339,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Goongarrie,WA,-30.0085,121.1476,Mineral deposit,"Scandium , Cobalt , PGE , Nickel",,,,,,Other
Goschen,VIC,-35.5599,143.5316,Mine - under development,Titanium,,,,,,Base Metals and Alloys
Goschen Central,VIC,-35.8787,143.3567,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Governor Broome,WA,-34.2438,115.3993,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Great Australia Complex,QLD,-20.7206,140.5105,Mine - care and maintenance,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Great White,SA,-32.8286,134.7393,Mineral deposit,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
Greenbushes,WA,-33.8558,116.0668,Operating mine,"Lithium , Tantalum , Niobium",,,,,,Other
Greenmount,QLD,-21.0255,140.5297,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Grey Dam,WA,-30.4721,122.1492,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Griffiths Hill,QLD,-17.1212,144.408,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Groote Eylandt,NT,-13.9922,136.4455,Operating mine,Manganese Ore,,,,,,Base Metals and Alloys
Gunnawarra,QLD,-17.9485,145.1396,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Halidon,SA,-34.8596,140.132,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Hammerhead,SA,-32.7737,134.752,Mineral deposit,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
Hampton,WA,-30.4663,122.0392,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Happy Valley,WA,-33.5499,115.7162,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Hassell Beach,WA,-34.7737,118.416,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Hatches Creek,NT,-20.8861,135.188,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Hawkes Creek,TAS,-41.0960,144.8844,Operating mine,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Hawkwood,QLD,-25.7881,150.8528,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Hillgrove,NSW,-30.5745,151.9009,Mine - care and maintenance,Antimony,,,,,,Rare Earth Elements (REE) and Specialty Elements
HJ Reef,QLD,-20.6746,140.4772,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Holbrook,NSW,-35.7165,147.3616,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Home of Bullion,NT,-21.5127,134.1564,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Homeville,NSW,-32.0105,147.0487,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Honeymoon Well,WA,-26.9200,120.379,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Hopelands East,WA,-32.3963,115.907,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Horseshoe,QLD,-20.9639,140.2842,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Huandot,NT,-13.0029,131.1036,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Hurlls Hill,NSW,-31.4809,152.8674,Mineral deposit,"Scandium , Cobalt , PGE , Nickel",,,,,,Other
Irwin-Coglia,WA,-29.1547,123.046,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Isabel (Herberton),QLD,-17.3856,145.3632,Mineral deposit,Indium,,,,,,Rare Earth Elements (REE) and Specialty Elements
Jacinth-Ambrosia,SA,-30.9076,132.2203,Operating mine,Titanium,,,,,,Base Metals and Alloys
Jamieson Tank,SA,-33.4720,136.3237,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Jasper Block,QLD,-20.6883,140.5143,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Jaws,NSW, -33.8565,142.0609,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Jericho,WA,-27.3899,120.5755,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Jimberlana,WA,-32.2370,120.4542,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
John Galt,WA,-17.3458,128.2013,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
John Hill,QLD,-24.6961,150.8603,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Julia Creek,QLD,-20.6391,141.859,Mineral deposit,Vanadium,,,,,,Base Metals and Alloys
Julimar,WA,-31.5216,116.2102,Mineral deposit,"Platinum Group Elements (PGE) , Cobalt , Nickel",,,,,,Other
Jurien,WA,-30.3447,115.1773,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Kalkaroo,SA,-31.7290,140.525,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Kalman,QLD,-21.0459,139.967,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Kara,TAS,-41.3096,145.7746,Operating mine,Tungsten,,,,,,Base Metals and Alloys
Kara No. 2,TAS,-41.3105,145.8404,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Kathleen Valley,WA,-27.4694,120.5581,Mine - under development,"Lithium , Tantalum , Niobium",,,,,,Other
Kemerton,WA,-33.1781,115.7441,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Kerrigan-Bradley,WA,-32.6608,118.8313,Mineral deposit,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
Keysbrook,WA,-32.4687,115.9424,Operating mine,Titanium,,,,,,Base Metals and Alloys
Kiaka Hills ,WA ,-30.4529,116.0984,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Kilba,WA,-22.7797,115.5524,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
King Island Tailings,TAS,-40.0472,144.0734,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
King Tamba,WA,-27.7108,117.2169,Mineral deposit,"Lithium , Tantalum , Niobium",,,,,,Other
Kookaburra Gully,SA,-34.4002,135.9107,Mineral deposit,Graphite,,,,,,"Silica, Graphite, and Fluorine"
Koppamurra,SA,-36.8278,140.8489,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
Koppio,SA,-34.4274,135.9072,Mineral deposit,Graphite,,,,,,"Silica, Graphite, and Fluorine"
Korella,QLD,-21.9388,139.9757,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
Kulwin-Woornack,VIC,-35.0568,142.632,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Kunwarara,QLD,-22.8814,150.1869,Operating mine,Magnesium,,,,,,Base Metals and Alloys
Kuridala,QLD,-21.2751,140.506,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Lagoon Hill,QLD,-23.0744,150.2192,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Lake Hope,WA,-32.4100,120.25,Mineral deposit,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
Lake Maitland,WA,-27.1772,121.0819,Mine - under development,Vanadium,,,,,,Base Metals and Alloys
Lake Rebecca,WA,-30.0655,122.357,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Lanfranchi,WA,-31.5055,121.8429,Mine - care and maintenance,"Nickel , Cobalt , PGE",,,,,,Other
Larkin Find,WA,-29.4663,122.2577,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Lava Plains,QLD,-18.4363,144.7563,Mineral deposit,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
Lawlers,WA,-28.0967,120.6405,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Leinster,WA,-28.1674,120.9166,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Lighthouse,QLD,-18.3944,144.1733,Mine - care and maintenance,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Lucky Bay,WA,-28.0294,114.1831,Operating mine,Titanium,,,,,,Base Metals and Alloys
Lucky Break,QLD,-19.4796,145.6908,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Lyons,WA,-23.9875,116.3505,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
Lyons River,TAS,-41.2185,145.4014,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Maggie Hays,WA,-32.2225,120.517,Mine - care and maintenance,"Nickel , Cobalt , PGE",,,,,,Other
Main Creek,TAS,-41.5398,145.1618,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Maitland,QLD,-18.9763,144.4036,Mineral deposit,"Molybdenum, Rhenium",,,,,,Other
Malinda,WA,-24.5056,116.2722,Mineral deposit,"Lithium , Tantalum , Niobium",,,,,,Other
